fileName,iterations,fixed,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,analyzer_agent_tokens,analyzer_agent_cost,prompt_agent_tokens,prompt_agent_cost,running_time,Error_msg
classroom_inv5_2,6,reached_max_iter,0,0,FALSE,5,22172,0.0277,0,0,67.66,
classroom_inv6_12,6,reached_max_iter,0,0,FALSE,1,17882,0.0249,0,0,96.95,
classroom_inv8_17,6,reached_max_iter,0,0,FALSE,6,30312,0.036,0,0,74.46,
classroom_inv5_57,6,reached_max_iter,0,0,FALSE,6,29822,0.0353,0,0,75.27,
classroom_inv5_43,6,reached_max_iter,0,0,FALSE,6,29622,0.0351,0,0,73.6,
classroom_inv9_43,6,reached_max_iter,0,0,FALSE,5,24613,0.0297,0,0,71.96,
classroom_inv9_57,6,reached_max_iter,0,0,FALSE,4,18618,0.0241,0,0,67.49,
classroom_inv9_56,6,reached_max_iter,0,0,FALSE,0,16620,0.0235,0,0,84.03,
classroom_inv9_42,6,reached_max_iter,0,0,FALSE,6,26307,0.0308,0,0,60.36,
classroom_inv5_42,6,reached_max_iter,0,0,FALSE,1,16809,0.0229,0,0,78.41,
classroom_inv5_56,6,reached_max_iter,0,0,FALSE,6,30066,0.0357,0,0,72.84,
classroom_inv7_1,6,reached_max_iter,0,0,FALSE,2,17126,0.0229,0,0,76.16,
classroom_inv8_16,6,reached_max_iter,0,0,FALSE,5,18807,0.0228,0,0,52.32,
classroom_inv6_13,6,reached_max_iter,0,0,FALSE,5,19467,0.0241,0,0,52.73,
classroom_inv5_3,6,reached_max_iter,0,0,FALSE,1,17252,0.0236,0,0,78.16,
classroom_inv5_1,6,reached_max_iter,0,0,FALSE,5,20434,0.0253,0,0,60.05,
classroom_inv6_11,6,reached_max_iter,0,0,FALSE,6,29962,0.0355,0,0,72.15,
classroom_inv8_28,6,reached_max_iter,0,0,FALSE,5,21019,0.0262,0,0,65.4,
classroom_inv6_39,6,reached_max_iter,0,0,FALSE,1,13171,0.0164,0,0,40.1,
classroom_inv8_14,6,reached_max_iter,0,0,FALSE,4,20457,0.0253,0,0,58.39,
classroom_inv7_3,6,reached_max_iter,0,0,FALSE,6,30507,0.0362,0,0,74.23,
classroom_inv5_40,6,reached_max_iter,0,0,FALSE,4,22275,0.0289,0,0,218.92,
classroom_inv5_54,6,reached_max_iter,0,0,FALSE,1,17768,0.0248,0,0,92.47,
