fileName,iterations,fixed,repeated_fixes,repeated_init_spec,fst_iter_repeated_init_spec,wrong_format_msg,analyzer_agent_tokens,analyzer_agent_cost,prompt_agent_tokens,prompt_agent_cost,running_time,Error_msg
bempl1,6,reached_max_iter,0,0,False,2,6202,0.0076,0,0.0,1522.11
balancedBST3_1,6,reached_max_iter,0,0,False,0,8693,0.0109,0,0.0,36.52
student17_1,6,reached_max_iter,0,0,False,1,6578,0.0081,0,0.0,31.48
dll3_1,1,YES,0,0,False,0,1259,0.0018,0,0.0,8.02
dll1_1,3,YES,0,0,False,1,3674,0.0045,0,0.0,631.08
student16,6,reached_max_iter,0,0,False,1,5615,0.0068,0,0.0,25.09
balancedBST2_1,6,reached_max_iter,0,0,False,1,8937,0.0113,0,0.0,41.01
student12_1,6,reached_max_iter,0,1,False,0,7421,0.0096,0,0.0,35.76
ctree1,6,reached_max_iter,0,0,False,1,5281,0.0061,0,0.0,25.97
student15,6,reached_max_iter,0,0,False,0,7188,0.0092,0,0.0,32.81
fsm1_1,6,reached_max_iter,0,0,False,1,5938,0.0071,0,0.0,23.24
balancedBST1,6,reached_max_iter,0,0,False,0,8558,0.0106,0,0.0,42.89
student9,6,reached_max_iter,0,0,False,1,7234,0.009,0,0.0,29.79
student10,6,reached_max_iter,0,0,False,2,6224,0.0075,0,0.0,23.13
student11,6,reached_max_iter,0,0,False,1,6730,0.0084,0,0.0,28.61
student14_1,6,reached_max_iter,0,0,False,2,6007,0.0069,0,0.0,17.87
student8,2,YES,0,0,False,1,1923,0.0023,0,0.0,7.78
arr2,2,YES,0,0,False,0,2051,0.0025,0,0.0,9.19
student13,6,reached_max_iter,0,0,False,1,6678,0.0082,0,0.0,25.77
dll2_1,5,YES,0,0,False,2,4799,0.0055,0,0.0,14.16
arr1,6,reached_max_iter,0,0,False,0,5530,0.0065,0,0.0,23.96
cd2,6,reached_max_iter,0,0,False,6,6108,0.0067,0,0.0,11.41
student6_1,6,reached_max_iter,0,0,False,2,6153,0.0074,0,0.0,31.54
student18_1,6,reached_max_iter,0,0,False,2,6889,0.0084,0,0.0,32.43
student5,6,reached_max_iter,0,0,False,1,6887,0.0086,0,0.0,25.61
student4,6,reached_max_iter,0,0,False,1,6486,0.0078,0,0.0,22.82
dll4,6,reached_max_iter,0,0,False,1,6192,0.0074,0,0.0,22.49
student1,6,reached_max_iter,0,0,False,1,7112,0.0089,0,0.0,28.88
student2_1,6,reached_max_iter,0,0,False,1,6752,0.0084,0,0.0,29.65
grade1,6,reached_max_iter,0,0,False,2,4853,0.0057,0,0.0,14.67
fsm2,6,reached_max_iter,0,0,False,2,4850,0.0056,0,0.0,15.98
cd1_1,6,reached_max_iter,0,0,False,2,4810,0.0057,0,0.0,15.66
student19_1,6,reached_max_iter,0,0,False,1,14770,0.0205,0,0.0,86.96
addr1,6,reached_max_iter,0,0,False,1,7031,0.0087,0,0.0,27.3
farmer1,2,YES,0,0,False,1,2576,0.0029,0,0.0,6.37
student7_1,6,reached_max_iter,0,0,False,0,7805,0.0098,0,0.0,29.54
other1,6,reached_max_iter,0,0,False,0,6547,0.0077,0,0.0,21.11
student3_1,6,reached_max_iter,0,0,False,0,8104,0.0104,0,0.0,31.99
